Accession,Population,Tray,Plant_ID,Treatment,rand_placement_within_tray,Placement,flow_fresh_tissue_weight,DNA_content,FLOW,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_rhizome_mass,normalized_fine_roots_mass
Cheney4-2018,Cheney,16,144,H,0.862839578,18,0.1077,1.19,Y,Treated Diploid,47.7,0.2013,0.0499,6.32,0.0632,1.266533066,11.03,0.247888723,40.6,0.1795,0.0416,6.32,0.0632,1.519230769,10.66,0.231754875,46.5,0.1944,0.0461,6,0.06,1.301518438,11,0.237139918,0.045866667,44.93333333,0.238927839,0.005668112,1.362427424,0,1,0,0,1,0.8136,0.819268112,0.3632,1.182468112,0.443322515,0.1267,0.2365,0,0.69284584,0.107148767,0.200005393
Cheney7-2018,Cheney,19,271,L,0.689632801,15,NA,NA,,Untreated Diploid,35.5,NA,0.0087,1.24,0.0124,1.425287356,4.53,NA,39.1,0.0246,0.0083,1.08,0.0108,1.301204819,4.33,0.337398374,NA,NA,NA,NA,NA,NA,NA,NA,0.0085,37.3,0.337398374,0.023017544,1.363246088,0,0,1,1,2,0.0227,0.045717544,0.0304,0.076117544,0.664952606,0.0123,0.0181,0,0.600617697,0.161592182,0.237790121
Santa5-2018,Santa,10,466,H,0.74673651,16,0.0418,1.069,Y,Treated Diploid,49.7,0.1559,0.041,5.68,0.0568,1.385365854,10.72,0.262989096,50.5,0.1513,0.04,5.4,0.054,1.35,10.1,0.264375413,47.6,0.154,0.0408,5.61,0.0561,1.375,10.55,0.264935065,0.0406,49.26666667,0.264099858,0.03512744,1.370121951,0,0,0,0,0,0.7424,0.77752744,0.2891,1.06662744,0.371819675,0.138,0.1511,0,0.728958782,0.129379758,0.14166146
KB2-2,KB,10,298,H,0.899251622,20,0.0673,1.149,Y,Untreated Diploid,52.3,0.1456,0.0377,4.65,0.0465,1.233421751,9.19,0.258928571,49.6,0.127,0.0323,4.64,0.0464,1.436532508,9.22,0.254330709,48.7,0.1249,0.0308,4.49,0.0449,1.457792208,8.89,0.246597278,0.0336,50.2,0.253285519,0.012991684,1.375915489,0,0,0,0,0,0.5394,0.552391684,0.2181,0.770491684,0.394828536,0.0645,0.1536,0,0.716933999,0.083712779,0.199353222
Blue19-2018,Blue,16,192,H,0.161535103,5,0.0912,1.004,Y,Treated Diploid,44.9,0.2248,0.0545,7.76,0.0776,1.423853211,12.15,0.242437722,44.6,0.2131,0.0524,7.1,0.071,1.354961832,11.5,0.245893947,44,0.2212,0.0539,7.28,0.0728,1.350649351,12.06,0.243670886,0.0536,44.5,0.244000852,0.041938202,1.376488131,0,1,0,0,1,0.9817,1.023638202,0.4629,1.486538202,0.452210556,0.1974,0.2655,0,0.688605379,0.132791744,0.178602877
Santa-1,Santa,15,311,H,0.561724389,10,0.0791,1.03,Y,Untreated Diploid,45.7,0.13,0.0338,4.38,0.0438,1.295857988,9.13,0.26,36,0.1218,0.0312,4.46,0.0446,1.429487179,9.16,0.256157635,NA,NA,0.0272,3.82,0.0382,1.404411765,8.66,NA,0.030733333,40.85,0.258078818,0.009279491,1.376585644,0,0,1,0,1,0.4589,0.468179491,0.1775,0.645679491,0.379128098,0.0872,0.0903,0,0.725095806,0.135051525,0.139852669
Blue3-2018,Blue,15,167,H,0.978030607,20,0.1021,1.065,Y,Treated Diploid,56,0.0599,0.034,3.69,0.0369,1.085294118,8.6,0.567612688,46.3,0.1403,0.0312,4.97,0.0497,1.592948718,9.51,0.222380613,50.7,0.1434,0.0349,5.07,0.0507,1.452722063,9.66,0.243375174,0.033366667,51,0.344456158,0.00954541,1.3769883,0,1,0,0,1,0.4537,0.46324541,0.127,0.59024541,0.274152743,0.0514,0.0756,0,0.78483526,0.087082422,0.128082317
Cheney3-2018,Cheney,4,412,C,0.561735792,10,0.0319,1.093,Y,Treated Diploid,40.8,0.0548,0.0186,2.52,0.0252,1.35483871,6.68,0.339416058,36.7,0.0774,0.0229,3.21,0.0321,1.401746725,7.52,0.295865633,NA,NA,NA,NA,NA,NA,NA,NA,0.02075,38.75,0.317640846,NA,1.378292718,0,0,0,0,0,0.1576,0.1576,0.1166,0.2742,0.739847716,0.0715,0.0451,0,0.574762947,0.26075857,0.164478483
Santa4-2018,Santa,16,336,H,0.805717769,16,0.0858,1.005,Y,Untreated Diploid,47.8,0.1397,0.0354,4.77,0.0477,1.347457627,9.18,0.253400143,48.1,0.149,0.0374,4.92,0.0492,1.315508021,9.58,0.251006711,47.7,0.1314,0.0315,4.66,0.0466,1.479365079,9.31,0.239726027,0.034766667,47.86666667,0.248044294,0.001621979,1.380776909,0,0,1,1,2,0.816,0.817621979,0.2467,1.064321979,0.301728679,0.0892,0.1575,0,0.76820924,0.083809225,0.147981535
Cheney7-2018,Cheney,20,272,L,0.672632746,12,NA,NA,,Untreated Diploid,36.1,0.0273,0.0098,1.28,0.0128,1.306122449,4.66,0.358974359,35.5,0.0245,0.0083,1.21,0.0121,1.457831325,4.55,0.33877551,NA,NA,NA,NA,NA,NA,NA,NA,0.00905,35.8,0.348874935,0.009684433,1.381976887,1,0,0,0,1,0.0431,0.052784433,0.0372,0.089984433,0.704753237,0.0141,0.0231,0,0.586595161,0.156693769,0.256711069
Cheney4-2018,Cheney,5,133,C,0.799030899,17,0.099,NA,,Treated Diploid,34.2,0.0619,0.0196,2.45,0.0245,1.25,6.26,0.316639742,35.6,0.0548,0.0156,3.03,0.0303,1.942307692,7.17,0.284671533,36.8,0.0773,0.0232,2.23,0.0223,0.961206897,6.04,0.300129366,0.019466667,35.53333333,0.300480214,0.027908424,1.384504863,0,1,0,0,1,0.1326,0.160508424,0.1051,0.265608424,0.654794293,0.0512,0.0539,0,0.604304719,0.19276497,0.202930311
Santa9-2018,Santa,15,71,H,0.673254161,14,0.1041,1.234,Y,Treated Diploid,33.2,0.1016,0.0285,4.15,0.0415,1.456140351,9.55,0.280511811,35.8,0.1156,0.031,3.9,0.039,1.258064516,8.63,0.26816609,NA,NA,0.0318,4.58,0.0458,1.440251572,9.47,NA,0.030433333,34.5,0.274338951,0.010436448,1.384818813,0,1,0,0,1,0.6403,0.650736448,0.285,0.935736448,0.437965325,0.1416,0.1434,0,0.695427061,0.15132466,0.153248279
Blue2-1,Blue,22,210,L,0.832029665,17,NA,NA,,Untreated Diploid,33.2,0.0298,0.0091,1.33,0.0133,1.461538462,5.15,0.305369128,32.8,0.0231,0.0081,1.06,0.0106,1.308641975,4.91,0.350649351,NA,NA,NA,NA,NA,NA,NA,NA,0.0086,33,0.32800924,0.016790077,1.385090219,0,0,0,0,0,0.0617,0.078490077,0.0371,0.115590077,0.472671214,0.0194,0.0177,0,0.679038193,0.167834476,0.153127331
Santa8-2018,Santa,14,478,H,0.573968879,15,0.0575,1.096,Y,Treated Diploid,45.3,0.1265,0.0396,5.5,0.055,1.388888889,10.4,0.313043478,49.6,0.1571,0.0461,6.52,0.0652,1.414316703,11.49,0.293443666,NA,NA,0.0464,6.29,0.0629,1.355603448,11.09,NA,0.044033333,47.45,0.303243572,0.00575067,1.38626968,0,1,0,0,1,0.9761,0.98185067,0.3097,1.29155067,0.315424748,0.1195,0.1902,0,0.760210724,0.092524438,0.147264838
Cheney2-2018,Cheney,15,263,H,0.393187902,7,0.0943,1.129,Y,Untreated Diploid,45.8,0.0893,0.0239,3.29,0.0329,1.376569038,7.8,0.267637178,48.4,0.1193,0.0286,3.85,0.0385,1.346153846,8.62,0.239731769,NA,NA,0.0274,3.96,0.0396,1.445255474,8.73,NA,0.026633333,47.1,0.253684474,0.010132743,1.389326119,0,1,1,0,2,0.5798,0.589932743,0.2147,0.804632743,0.363939792,0.0819,0.1328,0,0.733170192,0.101785567,0.165044241
Blue14-2018,Blue,13,357,H,0.009039742,1,0.062,1.048,Y,Treated Diploid,34.5,0.2037,0.0479,7.61,0.0761,1.588726514,12.28,0.23514973,41.5,0.2224,0.0596,7.18,0.0718,1.204697987,13.33,0.267985612,NA,NA,NA,NA,NA,NA,NA,NA,0.05375,38,0.251567671,NA,1.396712251,0,0,0,0,0,1.1066,1.1066,0.3827,1.4893,0.345834086,0.2221,0.1606,0,0.74303364,0.149130464,0.107835896
Santa-3,Santa,18,318,L,0.652036896,16,NA,NA,,Untreated Diploid,38.4,0.017,0.0052,0.82,0.0082,1.576923077,3.88,0.305882353,38.3,0.0202,0.0073,0.89,0.0089,1.219178082,4.1,0.361386139,NA,NA,NA,NA,NA,NA,NA,NA,0.00625,38.35,0.333634246,0.01375589,1.39805058,0,0,0,0,0,0.0221,0.03585589,0.0102,0.04605589,0.284472091,1.00E-04,0.0101,0,0.778529956,0.002171275,0.219298769
Santa-1,Santa,13,309,H,0.558295154,13,0.0444,1.002,Y,Untreated Diploid,37.4,0.1112,0.0285,4.19,0.0419,1.470175439,8.67,0.256294964,36.2,0.12,0.0301,4.15,0.0415,1.378737542,8.57,0.250833333,NA,NA,0.0323,4.36,0.0436,1.349845201,8.99,NA,0.0303,36.8,0.253564149,0.012958804,1.399586061,0,0,0,0,0,0.6481,0.661058804,0.1502,0.811258804,0.227211254,0.0409,0.1093,0,0.81485563,0.050415478,0.134728892
Santa15-2018,Santa,16,456,H,0.778386302,14,0.0608,1.104,Y,Treated Diploid,50.7,0.1259,0.0324,4.51,0.0451,1.391975309,8.89,0.257347101,40.9,0.1257,0.0319,4.86,0.0486,1.523510972,9.24,0.253778839,45.4,0.1155,0.031,3.99,0.0399,1.287096774,8.86,0.268398268,0.031766667,45.66666667,0.259841403,0.022918982,1.400861018,0,0,0,0,0,0.8055,0.828418982,0.2818,1.110218982,0.340166034,0.1224,0.1594,0,0.746176201,0.11024852,0.143575279
Santa17-2018,Santa,16,96,H,0.898711464,19,0.1032,1.15,Y,Treated Diploid,48.3,0.1227,0.0334,4.23,0.0423,1.266467066,8.57,0.272208639,47.7,0.1265,0.0345,4.58,0.0458,1.327536232,8.86,0.272727273,46.4,0.1097,0.0277,4.47,0.0447,1.613718412,8.53,0.252506837,0.031866667,47.46666667,0.26581425,0.012163201,1.402573903,1,1,0,1,3,0.9969,1.009063201,0.4791,1.488163201,0.474796821,0.0957,0.3834,0,0.678059503,0.064307463,0.257633034
CheneyA-2018,Cheney,13,285,H,0.655602841,14,0.0454,1.092,Y,Untreated Diploid,37.3,0.1033,0.0258,3.7,0.037,1.434108527,8.24,0.249757986,38.8,0.1005,0.0256,3.51,0.0351,1.37109375,8.02,0.254726368,NA,NA,NA,NA,NA,NA,NA,NA,0.0257,38.05,0.252242177,NA,1.402601139,0,1,0,1,2,0.4504,0.4504,0.1154,0.5658,0.256216696,0.0523,0.0631,0,0.796041004,0.09243549,0.111523507
Santa17-2018,Santa,15,95,H,0.775546855,17,0.0711,1.056,Y,Treated Diploid,40.8,0.0813,0.0213,3.62,0.0362,1.699530516,7.89,0.26199262,41.2,0.1159,0.0299,3.8,0.038,1.27090301,8.38,0.257981018,39.4,0.1212,0.031,3.86,0.0386,1.24516129,8.2,0.255775578,0.0274,40.46666667,0.258583072,0.021614485,1.405198272,0,0,0,0,0,0.6682,0.689814485,0.1594,0.849214485,0.231076621,0.0605,0.0989,0,0.812297125,0.071242308,0.116460566
CheneyA-2018,Cheney,32,774,H,NA,NA,0.0501,1.189,Y,Treated Diploid,50.4,0.1223,0.0303,4.36,0.0436,1.438943894,8.65,0.247751431,48.7,0.1319,0.0321,4.59,0.0459,1.429906542,8.71,0.243366187,NA,NA,0.0371,5.04,0.0504,1.358490566,9.44,NA,0.033166667,49.55,0.245558809,0.009161746,1.409113667,0,0,0,1,1,0.3785,0.387661746,0.1286,0.516261746,0.3317325,0.0373,0.0913,0,0.750901551,0.072250172,0.176848276
Santa4-2018,Santa,5,325,C,0.358840836,7,0.0841,1.048,Y,Untreated Diploid,35.5,0.0634,0.0158,2.4,0.024,1.518987342,6.16,0.249211356,38.7,0.0928,0.0272,3.54,0.0354,1.301470588,7.65,0.293103448,35.6,0.0842,0.023,3.24,0.0324,1.408695652,7.28,0.273159145,0.022,36.6,0.27182465,0.004723894,1.409717861,0,0,0,0,0,0.057,0.061723894,0.0419,0.103623894,0.678829498,0.0201,0.0218,0,0.595653103,0.193970707,0.21037619
Blue1-3,Blue,17,197,L,0.911866854,19,NA,NA,,Untreated Diploid,35.7,0.0304,0.009,1.25,0.0125,1.388888889,4.95,0.296052632,33.2,0.0361,0.0101,1.45,0.0145,1.435643564,5.29,0.279778393,NA,NA,NA,NA,NA,NA,NA,NA,0.00955,34.45,0.287915513,0.023701543,1.412266227,0,0,0,0,0,0.059,0.082701543,0.0459,0.128601543,0.555007783,0.0163,0.0296,0,0.643083598,0.12674809,0.230168311
Santa10-2018,Santa,18,102,L,0.5700917,15,NA,NA,,Treated Diploid,35.1,0.0254,0.0087,0.99,0.0099,1.137931034,4.15,0.342519685,36,0.0217,0.0061,1.03,0.0103,1.68852459,4.32,0.281105991,NA,NA,NA,NA,NA,NA,NA,NA,0.0074,35.55,0.311812838,0.03563585,1.413227812,1,0,1,1,3,0.038,0.07363585,0.0226,0.09623585,0.306915721,0.012,0.0106,0,0.765160281,0.124693656,0.110146063
Blue8-2018,Blue,31,757,C,NA,NA,0.0089,1.033,Y,Treated Diploid,44.7,0.0444,0.0131,1.84,0.0184,1.404580153,5.94,0.295045045,47.5,0.0551,0.0145,2.07,0.0207,1.427586207,6.07,0.263157895,NA,NA,NA,NA,NA,NA,NA,NA,0.0138,46.1,0.27910147,0.015660659,1.41608318,1,0,0,1,2,0.0736,0.089260659,0.0442,0.133460659,0.495178957,0.0268,0.0174,0,0.668816261,0.20080824,0.130375499
Blue8-2018,Blue,1,385,C,0.493500013,10,0.0685,NA,,Treated Diploid,47.7,0.0575,0.0169,2.32,0.0232,1.372781065,6.75,0.293913043,47.3,0.0481,0.0132,1.93,0.0193,1.462121212,5.94,0.274428274,NA,NA,NA,NA,NA,NA,NA,NA,0.01505,47.5,0.284170659,0.010549586,1.417451139,0,0,1,0,1,0.0616,0.072149586,0.0565,0.128649586,0.783095277,0.0301,0.0264,0,0.560822528,0.233968884,0.205208589
Cheney3-2018,Cheney,20,416,L,0.190907655,4,NA,NA,,Treated Diploid,30.8,0.0211,0.0062,0.88,0.0088,1.419354839,3.84,0.293838863,NA,0.0113,0.0044,0.63,0.0063,1.431818182,3.17,0.389380531,NA,NA,NA,NA,NA,NA,NA,NA,0.0053,30.8,0.341609697,0.020629766,1.425586511,1,1,1,1,4,0.0285,0.049129766,0.0267,0.075829766,0.543458725,0.0139,0.0128,0,0.647895524,0.183305326,0.168799149
Blue16-2018,Blue,17,149,L,0.013958913,3,NA,NA,,Treated Diploid,33.5,0.0164,0.005,0.69,0.0069,1.38,3.4,0.304878049,35.3,0.0187,0.0053,0.78,0.0078,1.471698113,3.68,0.28342246,NA,NA,NA,NA,NA,NA,NA,NA,0.00515,34.4,0.294150255,0.023373288,1.425849057,0,0,0,0,0,0.0684,0.091773288,0.0503,0.142073288,0.548089767,0.0278,0.0225,0,0.645957374,0.195673658,0.158368968
Blue8-2018,Blue,17,389,L,0.508240317,10,NA,NA,,Treated Diploid,36,0.0342,0.011,1.45,0.0145,1.318181818,5.19,0.321637427,34.4,0.0357,0.0097,1.49,0.0149,1.536082474,5.14,0.271708683,NA,NA,NA,NA,NA,NA,NA,NA,0.01035,35.2,0.296673055,0.010983945,1.427132146,0,0,0,0,0,0.0628,0.073783945,0.0528,0.126583945,0.715602832,0.0244,0.0284,0,0.582885492,0.192757462,0.224357046
Santa16-2018,Santa,15,119,H,0.031761179,1,0.0571,1.088,Y,Treated Diploid,51.8,0.1653,0.0382,5.28,0.0528,1.382198953,10.08,0.231094979,52.7,0.1384,0.0347,4.89,0.0489,1.409221902,9.49,0.250722543,NA,NA,0.0285,4.27,0.0427,1.498245614,9.37,NA,0.0338,52.25,0.240908761,0.031375455,1.429888823,0,0,0,0,0,0.6851,0.716475455,0.1778,0.894275455,0.248159234,0.0626,0.1152,0,0.801179828,0.070000803,0.128819369
Blue8-2018,Blue,32,772,H,NA,NA,0.0517,1.226,Y,Treated Diploid,45.3,0.2212,0.0509,7.12,0.0712,1.398821218,12.78,0.230108499,48.5,0.2024,0.0501,6.61,0.0661,1.319361277,12.32,0.247529644,NA,NA,0.0447,7.04,0.0704,1.574944072,12.21,NA,0.048566667,46.9,0.238819072,0.017219612,1.431042189,1,1,1,1,4,0.6529,0.670119612,0.3418,1.011919612,0.510058195,0.1754,0.1664,0,0.662226133,0.173333927,0.16443994
Santa8-2018,Santa,32,765,H,NA,NA,0.0315,1.076,Y,Treated Diploid,42.6,0.1634,0.0439,6.14,0.0614,1.398633257,10.05,0.268665851,46.4,0.1503,0.0385,5.86,0.0586,1.522077922,9.86,0.256154358,NA,NA,0.0407,5.64,0.0564,1.385749386,10.08,NA,0.041033333,44.5,0.262410105,0.02805954,1.435486855,0,0,1,0,1,0.4496,0.47765954,0.0808,0.55845954,0.169158141,0.022,0.0588,0,0.855316287,0.03939408,0.105289633
Blue2-1,Blue,15,215,H,0.480402822,8,0.141,1.285,Y,Untreated Diploid,39,0.1224,0.0275,3.84,0.0384,1.396363636,8.4,0.224673203,35.8,0.1302,0.0295,4.21,0.0421,1.427118644,8.7,0.226574501,35.7,0.1153,0.0276,4.1,0.041,1.485507246,8.85,0.239375542,0.0282,36.83333333,0.230207749,0.036164385,1.436329842,0,1,0,0,1,0.3266,0.362764385,0.149,0.511764385,0.410734918,0.0671,0.0819,0,0.708850392,0.131115025,0.160034583
Santa17-2018,Santa,21,89,L,0.406248654,4,NA,NA,,Treated Diploid,36.3,0.01,0.0037,0.5,0.005,1.351351351,2.91,0.37,NA,NA,0.004,0.56,0.0056,1.4,3.05,NA,31.5,0.0174,0.0049,0.77,0.0077,1.571428571,3.66,0.281609195,0.0042,33.9,0.325804598,0.005249336,1.440926641,1,1,1,1,4,0.0166,0.021849336,0.0207,0.042549336,0.947397212,0.0082,0.0125,0,0.513505922,0.192717461,0.293776617
Blue8-2018,Blue,11,727,H,NA,NA,0.061,1.133,Y,Treated Diploid,47.8,0.21,0.049,7.01,0.0701,1.430612245,11.7,0.233333333,47.9,0.1859,0.0414,6.14,0.0614,1.483091787,10.96,0.222700377,46.4,0.193,0.0454,6.54,0.0654,1.440528634,11.17,0.235233161,0.045266667,47.36666667,0.23042229,0.036196593,1.451410889,0,0,0,0,0,0.4409,0.477096593,0.2247,0.701796593,0.47097381,0.0584,0.1663,0,0.679821757,0.083214995,0.236963248
KB2-2,KB,9,297,H,0.477888131,11,0.0968,0.91,Y,Untreated Diploid,43.7,0.1175,0.0313,5.07,0.0507,1.619808307,9.33,0.266382979,41.6,0.1597,0.0449,6.59,0.0659,1.467706013,11.3,0.28115216,39.7,0.1242,0.0352,4.47,0.0447,1.269886364,9.36,0.283413849,0.037133333,41.66666667,0.276982996,0.039704853,1.452466895,0,0,1,0,1,0.7925,0.832204853,0.3777,1.209904853,0.453854599,0.184,0.1937,0,0.687826692,0.152078074,0.160095234
Blue11-2018,Blue,19,343,L,0.163246434,7,NA,NA,,Treated Diploid,38.6,0.0319,0.0088,1.36,0.0136,1.545454545,5.3,0.275862069,40.5,0.0283,0.0089,1.21,0.0121,1.359550562,4.88,0.314487633,NA,NA,NA,NA,NA,NA,NA,NA,0.00885,39.55,0.295174851,0.019909169,1.452502554,0,1,1,0,2,0.0533,0.073209169,0.052,0.125209169,0.710293543,0.0288,0.0232,0,0.584694952,0.230015104,0.185289945
CheneyA-2018,Cheney,24,428,L,0.722560223,14,NA,NA,,Treated Diploid,35.3,0.0303,0.0097,1.4,0.014,1.443298969,4.99,0.320132013,NA,0.0235,0.008,1.19,0.0119,1.4875,4.43,0.340425532,NA,NA,NA,NA,NA,NA,NA,NA,0.00885,35.3,0.330278773,0.013685208,1.465399485,1,1,1,1,4,0.0321,0.045785208,0.0359,0.081685208,0.784096034,0.0101,0.0258,0,0.560507944,0.123645397,0.315846659
Santa-3,Santa,10,322,H,0.616109687,12,0.0353,1.066,Y,Untreated Diploid,43.7,0.1168,0.0302,4.73,0.0473,1.566225166,9.34,0.258561644,45.6,0.1452,0.0406,5.7,0.057,1.403940887,10.27,0.279614325,46.3,0.131,0.0348,5.09,0.0509,1.462643678,9.46,0.265648855,0.0352,45.2,0.267941608,0.029414132,1.477603244,1,0,0,0,1,0.662,0.691414132,0.1798,0.871214132,0.260046753,0.0588,0.121,0,0.793621346,0.067492018,0.138886636
Blue8-2018,Blue,19,391,L,0.546637234,13,NA,NA,,Treated Diploid,41,0.0371,0.0113,1.64,0.0164,1.451327434,5.51,0.30458221,35.9,0.0384,0.0103,1.55,0.0155,1.504854369,5.37,0.268229167,NA,NA,NA,NA,NA,NA,NA,NA,0.0108,38.45,0.286405689,0.012205913,1.478090902,1,1,1,1,4,0.0623,0.074505913,0.054,0.128505913,0.72477469,0.0282,0.0258,0,0.579785873,0.219445155,0.200768972
Santa-3,Santa,20,320,L,0.90671034,19,NA,NA,,Untreated Diploid,38.1,0.0349,0.0117,1.45,0.0145,1.239316239,5.17,0.335243553,39.2,0.0303,0.008,1.39,0.0139,1.7375,5,0.264026403,NA,NA,NA,NA,NA,NA,NA,NA,0.00985,38.65,0.299634978,0.02304667,1.48840812,0,0,0,0,0,0.0508,0.07384667,0.04,0.11384667,0.541662881,0.0156,0.0244,0,0.648650242,0.137026406,0.214323353
CheneyA-2018,Cheney,16,288,H,0.571331916,8,0.0861,1.139,Y,Untreated Diploid,42.2,0.1511,0.0346,5.28,0.0528,1.526011561,9.74,0.228987426,44.4,0.1466,0.0349,5.06,0.0506,1.449856734,9.35,0.238062756,45.4,0.1507,0.0351,5.23,0.0523,1.49002849,10.11,0.232913072,0.034866667,44,0.233321085,0.018132385,1.488632262,0,1,0,0,1,0.3224,0.340532385,0.201,0.541532385,0.590252231,0.0917,0.1093,0,0.628831062,0.169334286,0.201834651
Blue2-3,Blue,15,239,H,0.808505869,18,0.0943,0.849,Y,Untreated Diploid,41.3,0.094,0.023,3.57,0.0357,1.552173913,7.94,0.244680851,38.4,0.1133,0.0273,3.98,0.0398,1.457875458,9.03,0.240953222,NA,NA,0.0289,4.28,0.0428,1.480968858,9.11,NA,0.0264,39.85,0.242817037,0.005669554,1.497006076,0,0,1,0,1,0.4985,0.504169554,0.1432,0.647369554,0.284031431,0.0527,0.0905,0,0.778797135,0.081406362,0.139796503
Blue16-2018,Blue,9,153,H,0.113743333,3,0.1289,1.122,Y,Treated Diploid,41.1,0.1564,0.0394,5.98,0.0598,1.517766497,10.61,0.251918159,38.6,0.1291,0.0299,5.11,0.0511,1.7090301,9.84,0.231603408,42.9,0.1929,0.0491,6.23,0.0623,1.268839104,11.27,0.254536029,0.039466667,40.86666667,0.246019199,0.013710425,1.498545234,0,0,0,0,0,0.8527,0.866410425,0.3359,1.202310425,0.387691549,0.1405,0.1954,0,0.720621236,0.11685834,0.162520424
Cheney4-2018,Cheney,14,142,H,0.151178921,6,0.0398,1.049,Y,Treated Diploid,40.4,0.1379,0.0448,5.9,0.059,1.316964286,10.26,0.324873096,40.8,0.0659,0.0193,3.04,0.0304,1.575129534,7.65,0.292867982,NA,NA,0.0187,3.01,0.0301,1.609625668,7.2,NA,0.0276,40.6,0.308870539,0.027014978,1.500573163,0,0,1,0,1,0.9353,0.962314978,0.3112,1.273514978,0.32338684,0.1369,0.1743,0,0.755636953,0.107497754,0.136865293
Blue8-2018,Blue,10,731,H,NA,NA,0.0424,1.09,Y,Treated Diploid,45.2,0.2119,0.0573,8.22,0.0822,1.434554974,13.04,0.270410571,48.1,0.2165,0.0557,8.4,0.084,1.508078995,13.11,0.257274827,46,0.2242,0.0554,8.65,0.0865,1.561371841,13.39,0.247100803,0.056133333,46.43333333,0.258262067,0.008493156,1.50133527,0,0,0,0,0,0.5891,0.597593156,0.238,0.835593156,0.398264267,0.0733,0.1647,0,0.715172392,0.087722116,0.197105492
Cheney2-2018,Cheney,13,405,H,0.199860388,6,0.0905,1.214,Y,Treated Diploid,42.1,0.0931,0.0216,3.14,0.0314,1.453703704,7.62,0.232008593,35.2,0.109,0.0231,3.59,0.0359,1.554112554,8.18,0.211926606,NA,NA,NA,NA,NA,NA,NA,NA,0.02235,38.65,0.2219676,NA,1.503908129,1,1,1,1,4,0.7112,0.7112,0.1987,0.9099,0.279386952,0.0688,0.1299,0,0.781624354,0.075612705,0.142762941
Santa10-2018,Santa,11,107,H,0.722077479,14,0.0969,1.073,Y,Treated Diploid,39.2,0.1285,0.0309,4.83,0.0483,1.563106796,9.45,0.240466926,38.5,0.1493,0.0353,5.42,0.0542,1.535410765,9.9,0.236436705,46.4,0.1716,0.0429,6.08,0.0608,1.417249417,10.73,0.25,0.036366667,41.36666667,0.24230121,0.031199637,1.505255659,0,0,1,0,1,0.891,0.922199637,0.2818,1.203999637,0.305573749,0.1181,0.1637,0,0.765946773,0.098089731,0.135963496
Blue8-2018,Blue,9,393,H,0.057039308,1,0.1344,1.033,Y,Treated Diploid,42.4,0.1715,0.0414,6.57,0.0657,1.586956522,11.41,0.241399417,40,0.2086,0.048,8,0.08,1.666666667,12.56,0.230105465,42.2,0.255,0.062,7.97,0.0797,1.285483871,13.16,0.243137255,0.050466667,41.53333333,0.238214046,0.014864004,1.513035687,1,1,1,1,4,0.9509,0.965764004,0.2995,1.265264004,0.31011717,0.129,0.1705,0,0.763290508,0.101955007,0.134754486
Blue16-2018,Blue,20,152,L,0.678471691,13,NA,NA,,Treated Diploid,35.3,0.0199,0.0054,0.78,0.0078,1.444444444,3.83,0.271356784,36,0.0144,0.0039,0.62,0.0062,1.58974359,3.46,0.270833333,NA,NA,NA,NA,NA,NA,NA,NA,0.00465,35.65,0.271095059,0.009457191,1.517094017,0,0,1,0,1,0.0316,0.041057191,0.0265,0.067557191,0.645441136,0.0109,0.0156,0,0.607739759,0.161344778,0.230915462
Santa14-2018,Santa,20,56,L,0.017978752,1,NA,NA,,Treated Diploid,45.4,0.0331,0.0103,1.48,0.0148,1.436893204,5.04,0.311178248,45.9,0.0276,0.0088,1.42,0.0142,1.613636364,5.03,0.31884058,NA,NA,NA,NA,NA,NA,NA,NA,0.00955,45.65,0.315009414,0.026951559,1.525264784,0,0,1,1,2,0.04,0.066951559,0.0485,0.115451559,0.724404341,0.0229,0.0256,0,0.579910393,0.198351587,0.221738019
Santa-3,Santa,17,317,L,0.860132267,18,NA,NA,,Untreated Diploid,37.7,0.0193,0.0059,0.93,0.0093,1.576271186,3.81,0.305699482,35.8,0.0152,0.0046,0.72,0.0072,1.565217391,3.47,0.302631579,NA,NA,NA,NA,NA,NA,NA,NA,0.00525,36.75,0.304165531,0.025510249,1.570744289,0,1,0,0,1,0.0264,0.051910249,0.0201,0.072010249,0.387206773,0.0086,0.0115,0,0.720873066,0.119427444,0.159699489
