Accession,Population,Tray,Plant_ID,Treatment,rand_placement_within_tray,Placement,flow_fresh_tissue_weight,DNA_content,FLOW,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_rhizome_mass,normalized_fine_roots_mass
Santa15-2018,Santa,14,454,H,0.086900357,4,0.0533,0.996,Y,Treated Diploid,48,0.1461,0.0394,5.19,0.0519,1.317258883,9.71,0.269678303,47.6,0.164,0.0446,5.99,0.0599,1.343049327,10.68,0.27195122,NA,NA,0.0469,6.09,0.0609,1.298507463,10.74,NA,0.043633333,47.8,0.270814762,0.021723383,1.319605224,1,0,0,0,1,0.8828,0.904523383,0.2791,1.183623383,0.308560293,0.1493,0.1298,0,0.764198643,0.126138096,0.109663261
Blue2-2,Blue,12,228,H,0.4939627,8,0.0711,1.1414,Y,Untreated Diploid,55.7,0.1926,0.0546,6.32,0.0632,1.157509158,11.62,0.283489097,48.8,0.16,0.036,5.69,0.0569,1.580555556,10.65,0.225,57.7,0.2062,0.0548,6.69,0.0669,1.22080292,11.51,0.265761397,0.048466667,54.06666667,0.258083498,0.002891375,1.319622545,0,0,1,0,1,1.0194,1.022291375,0.2118,1.234091375,0.207181636,0.0702,0.1416,0,0.828375755,0.056883956,0.114740288
Blue1-3,Blue,9,201,H,0.991993865,20,0.0834,1.141,Y,Untreated Diploid,39.5,0.1878,0.0438,5.7,0.057,1.301369863,10.97,0.233226837,39.7,0.1633,0.039,5.06,0.0506,1.297435897,9.73,0.23882425,38.2,0.2047,0.0452,6.16,0.0616,1.362831858,11.47,0.220810943,0.042666667,39.13333333,0.23095401,0.015640712,1.320545873,0,0,0,0,0,0.5212,0.536840712,0.1788,0.715640712,0.333059688,0.051,0.1278,0,0.750153957,0.071264811,0.178581232
Santa10-2018,Santa,9,105,H,0.921239796,18,0.1277,1,Y,Treated Diploid,46.1,0.1417,0.0418,4.75,0.0475,1.136363636,9.67,0.294989414,45.2,0.1439,0.0398,5.84,0.0584,1.467336683,9.34,0.276580959,46.5,0.1168,0.0304,4.13,0.0413,1.358552632,7.93,0.260273973,0.037333333,45.93333333,0.277281449,0.031502019,1.320750984,0,0,1,0,1,0.9907,1.022202019,0.3252,1.347402019,0.318136722,0.1394,0.1858,0,0.758646643,0.103458358,0.137894999
Blue19-2018,Blue,15,191,H,0.13062405,3,0.1089,0.951,Y,Treated Diploid,42.6,0.148,0.0379,4.75,0.0475,1.253298153,9.96,0.256081081,41.5,0.1191,0.0328,4.84,0.0484,1.475609756,9.27,0.275398825,46.9,0.1294,0.034,4.2,0.042,1.235294118,9.27,0.262751159,0.0349,43.66666667,0.264743688,0.026767215,1.321400676,0,0,0,0,0,0.8571,0.883867215,0.3738,1.257667215,0.422914204,0.2176,0.1562,0,0.702783061,0.173018742,0.124198197
Blue2-2,Blue,20,224,L,0.796223184,14,NA,NA,,Untreated Diploid,43,0.0198,0.0067,0.82,0.0082,1.223880597,3.78,0.338383838,38.3,0.0237,0.0069,0.98,0.0098,1.420289855,4.09,0.291139241,NA,NA,NA,NA,NA,NA,NA,NA,0.0068,40.65,0.31476154,0.019738634,1.322085226,0,0,1,1,2,0.0173,0.037038634,0.0129,0.049938634,0.348284983,0.0062,0.0067,0,0.741682962,0.124152375,0.134164663
Blue3-2018,Blue,16,168,H,0.012013708,1,0.134,1.159,Y,Treated Diploid,47,0.3155,0.0728,10.04,0.1004,1.379120879,14.16,0.230744849,46.7,0.3013,0.0702,9.42,0.0942,1.341880342,13.96,0.232990375,47.4,0.2656,0.0634,7.9,0.079,1.246056782,13.19,0.238704819,0.0688,47.03333333,0.234146681,0.028613783,1.322352668,1,1,1,1,4,1.0514,1.080013783,0.3704,1.450413783,0.342958586,0.1665,0.2039,0,0.7446246,0.114794827,0.140580573
Blue3-2018,Blue,21,161,L,0.635040049,13,NA,NA,,Treated Diploid,40.6,0.0271,0.0084,1.17,0.0117,1.392857143,4.89,0.3099631,48.5,0.0449,0.0136,1.63,0.0163,1.198529412,5.82,0.302895323,37.8,0.0363,0.0095,1.31,0.0131,1.378947368,5.2,0.261707989,0.0105,42.3,0.291522137,0.005392663,1.323444641,1,1,1,1,4,0.0414,0.046792663,0.0511,0.097892663,1.092051547,0.0152,0.0359,0,0.477999694,0.155272107,0.366728199
KB2-2,KB,17,293,L,0.826827371,17,NA,NA,,Untreated Diploid,38,0.0219,0.0071,1.02,0.0102,1.436619718,4.06,0.324200913,38.1,0.0311,0.0103,1.26,0.0126,1.223300971,4.57,0.331189711,NA,NA,NA,NA,NA,NA,NA,NA,0.0087,38.05,0.327695312,0.012314348,1.329960345,0,0,0,0,0,0.0293,0.041614348,0.0312,0.072814348,0.749741411,0.0181,0.0131,0,0.571513021,0.248577382,0.179909597
Cheney2-2018,Cheney,13,261,H,0.679055505,15,0.0716,1.034,Y,Untreated Diploid,46.4,0.1429,0.0427,5.59,0.0559,1.309133489,10.05,0.298810357,35.8,0.1138,0.0271,3.79,0.0379,1.398523985,8.52,0.238137083,NA,NA,0.0398,5.15,0.0515,1.293969849,9.55,NA,0.036533333,41.1,0.26847372,0.010498958,1.333875774,0,1,0,0,1,0.4596,0.470098958,0.236,0.706098958,0.502021959,0.0945,0.1415,0,0.665769228,0.133833932,0.20039684
CheneyA-2018,Cheney,16,432,H,0.854559398,17,0.1026,1.128,Y,Treated Diploid,45.5,0.1717,0.0479,6.39,0.0639,1.334029228,10.71,0.278974956,46.7,0.1622,0.0433,5.86,0.0586,1.35334873,10.2,0.266954377,47.8,0.1423,0.0424,5.58,0.0558,1.316037736,10.18,0.297962052,0.044533333,46.66666667,0.281297128,0.011297381,1.334471898,0,1,0,0,1,0.6932,0.704497381,0.2666,0.971097381,0.378425821,0.0702,0.1964,0,0.725465226,0.072289352,0.202245422
