Plant_ID,above_A630,above_mg.L,above_ashed_weight_g,above_ashed_weight_mg,above_decimal_percent_phosphorus,asin_above_percent_P,above_percent_phorphorus,below_A630,below_mg.L,below_ashed_weight_g,below_ashed_weight_mg,below_decimal_percent_phosphorus,asin_below_percent_P,below_percent_phorphorus,Accession,Population,Tray,Treatment,Cytotype,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
419,0.667,0.3006239,0.0267,26.7,0.011259322,0.01125956,1.12593221,1.297,0.5928061,0.0249,24.9,0.023807474,0.023809724,2.38074739,Cheney3-2018,Cheney,11,H,Neotetraploid,0.052633333,35.8,0.232838286,1.278079947,0,0,0,0,0,0.295295943,0.1236,0.418895943,0.41856315,0.0311,0.0925,0,0.704938656,0.295061344,0.074242782,0.220818563,0.125647751
417,NA,NA,NA,NA,NA,NA,NA,1.052,0.5132368,0.0239,23.9,0.021474343,0.021475994,2.14743431,Cheney3-2018,Cheney,9,H,Neotetraploid,0.064933333,40.63333333,0.264452704,1.089717359,0,0,0,0,0,0.492746115,0.1598,0.652546115,0.324304942,0.0441,0.1157,0,0.755113093,0.244886907,0.067581431,0.177305477,0.099507654
773,NA,NA,NA,NA,NA,NA,NA,0.797,0.3899698,0.0188,18.8,0.020743074,0.020744562,2.074307447,Cheney3-2018,Cheney,32,H,Neotetraploid,0.0636,44.95,0.270377016,1.0086208,0,1,0,0,1,0.5897,0.1644,0.7541,0.278785823,0.0416,0.1228,0,0.781991778,0.218008222,0.055165097,0.162843124,0.084338947
443,NA,NA,NA,NA,NA,NA,NA,1.03,0.501251,0.0237,23.7,0.021149831,0.021151408,2.114983122,KB2-8,Palouse,11,H,Neotetraploid,0.0742,65.6,0.253635942,1.013571859,0,0,0,0,0,0.654278932,0.1431,0.797378932,0.218714058,0.0336,0.1095,0,0.820537019,0.179462981,0.042138058,0.137324922,0.093054879
770,NA,NA,NA,NA,NA,NA,NA,0.971,0.4740814,0.0231,23.1,0.020523004,0.020524445,2.052300433,KB2-8,Palouse,32,H,Neotetraploid,0.062833333,54.75,0.250235764,1.128391735,1,1,1,1,4,0.452989988,0.1249,0.577889988,0.275723533,0.0373,0.0876,0,0.783868898,0.216131102,0.064545157,0.151585945,0.108728883
444,0.423,0.1963365,0.0256,25.6,0.007669395,0.00766947,0.766939453,0.968,0.4726312,0.0239,23.9,0.019775364,0.019776653,1.977536402,KB2-8,Palouse,12,H,Neotetraploid,0.077,61.86666667,0.273033256,0.947408646,0,0,0,0,0,0.555248871,0.1352,0.690448871,0.243494417,0.0349,0.1003,0,0.804185356,0.195814644,0.050546828,0.145267817,0.111521654
441,0.885,0.4160175,0.0338,33.8,0.01230821,0.012308521,1.230821006,0.392,0.1941928,0.0103,10.3,0.01885367,0.018854787,1.88536699,KB2-8,Palouse,9,H,Neotetraploid,0.040633333,41.16666667,0.221230035,1.12431592,1,1,0,1,3,0.38381642,0.063,0.44681642,0.164140971,0.0081,0.0549,0,0.859002496,0.140997504,0.018128251,0.122869254,0.090939659
442,0.467,0.2172585,0.0277,27.7,0.007843267,0.007843347,0.784326715,0.751,0.3499383,0.0217,21.7,0.016126189,0.016126888,1.612618894,KB2-8,Palouse,10,H,Neotetraploid,0.0849,54.83333333,0.263058477,0.976178674,0,1,0,0,1,0.876713353,0.2234,1.100113353,0.254815327,0.0536,0.1698,0,0.796930017,0.203069983,0.048722252,0.154347731,0.077173866
762,NA,NA,NA,NA,NA,NA,NA,0.841,0.4112394,0.0189,18.9,0.021758698,0.021760415,2.175869841,Santa5-2018,Santa,32,H,Neotetraploid,0.0547,41.8,0.245358431,1.081888059,0,0,0,0,0,0.4563,0.0825,0.5388,0.180802104,0.0266,0.0559,0,0.84688196,0.15311804,0.049368968,0.103749072,0.101521901
777,NA,NA,NA,NA,NA,NA,NA,0.905,0.442177,0.024,24,0.018424042,0.018425084,1.842404167,Santa15-2018,Santa,32,H,Neotetraploid,0.063533333,49.8,0.256310688,1.173127522,0,1,1,0,2,0.540068974,0.1336,0.673668974,0.24737581,0.02,0.1136,0,0.801683015,0.198316985,0.029688171,0.168628814,0.094309424
479,0.756,0.3432428,0.0287,28.7,0.011959679,0.011959964,1.195967944,0.738,0.3614492,0.0218,21.8,0.016580239,0.016580999,1.658023853,Santa8-2018,Santa,15,H,Neotetraploid,0.043566667,49.55,0.253916346,1.222476513,0,0,0,0,0,0.572310508,0.1972,0.769510508,0.344568197,0.0914,0.1058,0,0.743733194,0.256266806,0.118776806,0.13749,0.056616078
344,-0.039,0.0087699,0.0137,13.7,0.000640139,0.000640139,0.064013869,NA,NA,NA,NA,NA,NA,NA,Blue11-2018,Blue,20,L,Neotetraploid,0.0057,45.6,0.307748538,1.36947108,0,1,0,0,1,0.035346946,0.0328,0.068146946,0.927944383,0.0107,0.0221,0,0.518687162,0.481312838,0.157013639,0.324299199,0.08364278
353,0.16,0.07128,0.0202,20.2,0.003528713,0.00352872,0.352871287,NA,NA,NA,NA,NA,NA,NA,Blue14-2018,Blue,21,L,Neotetraploid,0.009366667,40.46666667,0.290201286,0.993506493,1,1,1,1,4,0.056844762,0.0273,0.084144762,0.480255331,0.0081,0.0192,0,0.675559127,0.324440873,0.096262676,0.228178196,0.111316103
