Plant_ID,tota_root_length_cm_1,total_surface_area_cm2_1,total_vol_cm3_1,average_diameter_mm_1,number_tips_1,number_forks_1,tips_per_length_1,tota_root_length_cm_2,total_surface_area_cm2_2,total_vol_cm3_2,average_diameter_mm_2,number_tips_2,number_forks_2,tips_per_length_2,avg_root_diamter_mm,avg_root_diamter_sd,avg_tips_per_mm,avg_tips_per_mm_SD,Accession,Population,Tray,Treatment,Cytotype,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
214,50.571,4.618,0.034,0.291,147,286,2.906804295,34.188,3.201,0.024,0.298,104,190,3.042003042,0.2945,0.004949747,2.974403668,0.095599951,Blue2-1,Blue,14,H,Diploid,0.051166667,47.95,0.254705148,0.008409643,1.360879444,0.831809643,0.2067,1.038509643,0.248494354,0.0883,0.1184,0,0.800964775,0.199035225,0.085025691,0.114009534,0.049269323
238,38.682,3.859,0.031,0.318,110,190,2.843699912,12.506,1.076,0.007,0.274,42,59,3.358387974,0.296,0.031112698,3.101043943,0.363939419,Blue2-3,Blue,14,H,Diploid,0.0509,49.45,0.270572925,0.028776909,1.288924205,0.772876909,0.3956,1.168476909,0.511853822,0.1713,0.2243,0,0.661439608,0.338560392,0.1466011,0.191959292,0.043560981
355,50.135,4.479,0.032,0.284,98,244,1.95472225,43.664,3.646,0.024,0.266,82,204,1.877977281,0.275,0.012727922,1.916349765,0.054266888,Blue14-2018,Blue,23,L,Neotetraploid,0.01645,36.65,0.272084369,NA,1.238752328,0.082,0.0564,0.1384,0.687804878,0.0241,0.0323,0,0.592485549,0.407514451,0.174132948,0.233381503,0.118858382
745,30.976,2.773,0.02,0.285,82,194,2.647210744,28.288,2.371,0.016,0.267,71,210,2.50989819,0.276,0.012727922,2.578554467,0.097094638,Santa8-2018,Santa,31,C,Neotetraploid,0.02545,41.65,0.289033418,NA,1.21456895,0.0891,0.0143,0.1034,0.160493827,0.0021,0.0122,0,0.861702128,0.138297872,0.020309478,0.117988395,0.246131528
380,28.381,2.506,0.018,0.281,64,133,2.255029773,27.209,2.373,0.016,0.278,48,134,1.764122165,0.2795,0.00212132,2.009575969,0.347124099,Blue5-2018,Blue,24,L,Neotetraploid,0.01425,39.5,0.3011979,NA,1.003360681,0.0595,0.0343,0.0938,0.576470588,0.0098,0.0245,0,0.634328358,0.365671642,0.104477612,0.26119403,0.151918977
367,18.996,1.699,0.012,0.285,39,64,2.053063803,19.007,1.676,0.012,0.281,37,99,1.946651234,0.283,0.002828427,1.999857518,0.075245049,Blue2-2,Blue,19,L,Neotetraploid,0.0114,39.15,0.321581281,0.031711875,1.108826946,0.051211875,0.0144,0.065611875,0.281184784,0.003,0.0114,0,0.780527534,0.219472466,0.04572343,0.173749036,0.173749036
426,14.009,1.196,0.008,0.272,29,73,2.070097794,48.661,4.518,0.033,0.296,94,318,1.931731777,0.284,0.016970563,2.000914786,0.097839549,CheneyA-2018,Cheney,22,L,Neotetraploid,0.0137,36.7,0.32860966,0.031528558,1.016588185,0.062228558,0.0223,0.084528558,0.358356368,0.0052,0.0171,0,0.736183835,0.263816165,0.061517671,0.202298494,0.162075402
762,22.413,2.143,0.016,0.304,50,119,2.230848168,12.092,1.152,0.009,0.303,21,74,1.736685412,0.3035,0.000707107,1.98376679,0.349425836,Santa5-2018,Santa,32,H,Neotetraploid,0.0547,41.8,0.245358431,NA,1.081888059,0.4563,0.0825,0.5388,0.180802104,0.0266,0.0559,0,0.84688196,0.15311804,0.049368968,0.103749072,0.101521901
415,15.145,1.414,0.011,0.297,29,52,1.914823374,15.598,1.527,0.012,0.312,34,63,2.179766637,0.3045,0.010606602,2.047295005,0.187343178,Cheney3-2018,Cheney,19,L,Neotetraploid,0.0101,34.95,0.304328104,0.015891395,1.187557889,0.042291395,0.0208,0.063091395,0.491825819,0.0041,0.0167,0,0.670319542,0.329680458,0.06498509,0.264695368,0.160085222
761,55.346,5.173,0.038,0.298,97,262,1.752610848,38.006,3.727,0.029,0.312,82,197,2.15755407,0.305,0.009899495,1.955082459,0.286338098,Blue2-2018,Blue,32,H,Neotetraploid,0.0567,55.65,0.242451307,0.013783429,1.061740086,0.312483429,0.1014,0.413883429,0.324497207,0.0372,0.0642,0,0.755003479,0.244996521,0.08988038,0.15511614,0.136995096
770,27.143,2.588,0.02,0.303,40,168,1.473676454,17.841,1.724,0.013,0.308,27,63,1.513368085,0.3055,0.003535534,1.49352227,0.028066221,KB2-8,Palouse,32,H,Neotetraploid,0.062833333,54.75,0.250235764,0.007289988,1.128391735,0.452989988,0.1249,0.577889988,0.275723533,0.0373,0.0876,0,0.783868898,0.216131102,0.064545157,0.151585945,0.108728883
365,26.545,2.758,0.023,0.331,46,100,1.732906385,13.451,1.188,0.008,0.281,27,51,2.007285704,0.306,0.035355339,1.870096045,0.194015477,Blue2-2,Blue,17,L,Neotetraploid,0.01515,35.1,0.33845996,0.017734123,0.981436643,0.048134123,0.0295,0.077634123,0.612870832,0.0089,0.0206,0,0.620012453,0.379987547,0.114640311,0.265347237,0.195146147
438,17.144,1.67,0.013,0.31,26,70,1.516565562,11.043,1.05,0.008,0.303,24,65,2.173322467,0.3065,0.004949747,1.844944015,0.464397261,KB2-8,Palouse,18,L,Neotetraploid,0.00895,45.25,0.331973728,0.012319727,0.911462301,0.036719727,0.0219,0.058619727,0.596409663,1.00E-04,0.0218,0,0.62640563,0.37359437,0.00170591,0.37188846,0.152678978
368,24.239,2.336,0.018,0.307,40,133,1.650233095,NA,NA,NA,NA,NA,NA,NA,0.307,NA,1.650233095,NA,Blue2-2,Blue,20,L,Neotetraploid,0.00375,NA,0.373489202,0.023922446,0.894025605,0.035322446,0.0078,0.043122446,0.22082276,1.00E-04,0.0077,0,0.819119722,0.180880278,0.002318978,0.1785613,0.086961672
430,40.451,3.922,0.03,0.309,121,278,2.991273392,19.139,1.862,0.014,0.31,52,98,2.716965359,0.3095,0.000707107,2.854119376,0.193965071,CheneyA-2018,Cheney,14,H,Neotetraploid,0.058966667,48.95,0.25784755,0.025290031,1.185327605,0.243990031,0.1021,0.346090031,0.41845972,0.0243,0.0778,0,0.704990058,0.295009942,0.070212944,0.224796998,0.170379559
773,33.082,3.109,0.023,0.299,51,170,1.541623844,13.638,1.387,0.011,0.324,27,77,1.979762429,0.3115,0.01767767,1.760693136,0.309810764,Cheney3-2018,Cheney,32,H,Neotetraploid,0.0636,44.95,0.270377016,NA,1.0086208,0.5897,0.1644,0.7541,0.278785823,0.0416,0.1228,0,0.781991778,0.218008222,0.055165097,0.162843124,0.084338947
362,18.037,1.79,0.014,0.316,56,73,3.104729168,12.543,1.232,0.01,0.313,32,41,2.55122379,0.3145,0.00212132,2.827976479,0.391387406,Blue2-2,Blue,2,C,Neotetraploid,0.0395,42.53333333,0.307682745,0.02148688,0.822241162,0.11698688,0.0927,0.20968688,0.792396549,0.0548,0.0379,0,0.557912255,0.442087745,0.261342054,0.180745691,0.188376116
414,8.664,0.842,0.007,0.309,22,44,2.539242844,12.018,1.224,0.01,0.324,25,54,2.080213014,0.3165,0.010606602,2.309727929,0.324583106,Cheney3-2018,Cheney,18,L,Neotetraploid,0.0059,35.4,0.3308562,0.012499497,1.059071118,0.027499497,0.0068,0.034299497,0.24727725,0.001,0.0058,0,0.801746364,0.198253636,0.029154946,0.16909869,0.172014184
766,83.696,8.256,0.065,0.314,126,416,1.505448289,54.621,5.539,0.045,0.323,120,283,2.196957214,0.3185,0.006363961,1.851202752,0.48897065,NA,Blue,NA,H,Neotetraploid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,49.152,4.795,0.037,0.311,71,169,1.444498698,35.07,3.604,0.029,0.327,56,156,1.596806387,0.319,0.011313708,1.520652543,0.1076978,Blue5-2018,Blue,32,H,Neotetraploid,0.103733333,48.75,0.241679015,0.018303354,1.085571505,0.762403354,0.3828,1.145203354,0.502096427,0.1476,0.2352,0,0.665736222,0.334263778,0.128885407,0.205378372,0.09058071
749,13.784,1.342,0.01,0.31,26,73,1.886244922,11.07,1.151,0.01,0.331,27,59,2.43902439,0.3205,0.014849242,2.162634656,0.390874111,Santa8-2018,Santa,31,C,Neotetraploid,0.01775,35.55,0.246788515,NA,1.365624206,0.0414,0.0122,0.0536,0.29468599,0.0017,0.0105,0,0.77238806,0.22761194,0.031716418,0.195895522,0.331156716
777,101.554,9.933,0.077,0.311,213,606,2.097406306,43.08,4.544,0.038,0.336,107,279,2.483751161,0.3235,0.01767767,2.290578733,0.273187067,Santa15-2018,Santa,32,H,Neotetraploid,0.063533333,49.8,0.256310688,0.035168974,1.173127522,0.540068974,0.1336,0.673668974,0.24737581,0.02,0.1136,0,0.801683015,0.198316985,0.029688171,0.168628814,0.094309424
439,26.908,2.845,0.024,0.337,46,135,1.709528765,14.38,1.436,0.011,0.318,30,53,2.086230876,0.3275,0.013435029,1.89787982,0.266368618,KB2-8,Palouse,19,L,Neotetraploid,0.01215,50.3,0.302631917,0.024610029,0.951073232,0.054310029,0.0291,0.083410029,0.53581264,0.0109,0.0182,0,0.65112109,0.34887891,0.130679729,0.218199181,0.145665937
440,24.415,2.512,0.021,0.328,44,117,1.802170797,NA,NA,NA,NA,NA,NA,NA,0.328,NA,1.802170797,NA,KB2-8,Palouse,20,L,Neotetraploid,0.0072,48.5,0.355978127,0.009458339,1.035273369,0.021858339,0.0079,0.029758339,0.36141813,1.00E-04,0.0078,0,0.734528194,0.265471806,0.003360403,0.262111403,0.241948988
436,28.766,3.286,0.03,0.364,49,95,1.703399847,31.548,3.35,0.028,0.338,76,142,2.409027514,0.351,0.018384776,2.05621368,0.498954108,KB2-8,Palouse,4,C,Neotetraploid,NA,NA,NA,NA,NA,0.2558,0.0943,0.3501,0.368647381,0.0442,0.0501,0,0.730648386,0.269351614,0.126249643,0.143101971,NA
750,47.874,5.842,0.057,0.388,128,342,2.67368509,11.712,1.332,0.012,0.362,32,59,2.732240437,0.375,0.018384776,2.702962764,0.041404883,CheneyA-2018,Cheney,31,C,Neotetraploid,0.06255,50.75,0.394909132,NA,0.786907501,0.1575,0.0818,0.2393,0.519365079,0.0223,0.0595,0,0.658169662,0.341830338,0.093188466,0.248641872,0.26138738
140,63.074,4.479,0.025,0.226,148,408,2.346450201,54.667,4.153,0.025,0.242,122,378,2.231693709,NA,0.011313708,2.289071955,0.081145094,Cheney4-2018,Cheney,24,L,Neotetraploid,0.01415,42.3,0.374174267,0.017726893,1.018290855,0.081326893,0.0635,0.144826893,0.780799532,0.0302,0.0333,0,0.56154552,0.43845448,0.208524808,0.229929672,0.097702849
46,18.392,1.526,0.01,0.264,58,137,3.15354502,14.955,1.236,0.008,0.263,45,66,3.009027081,0.2635,0.000707107,3.08128605,0.102189614,Ben2-2,Benewah,14,H,Tetraploid,0.039566667,46.3,0.271757581,0.024870376,1.349582506,0.774470376,0.3915,1.165970376,0.505506746,0.1679,0.2236,0,0.664228176,0.335771824,0.144000228,0.191771596,0.033934539
20,44.675,3.857,0.027,0.275,121,236,2.708449916,56.4,4.668,0.031,0.263,135,372,2.393617021,0.269,0.008485281,2.551033469,0.222620475,CLD1-1,CDL,24,L,Tetraploid,0.01025,39.75,0.351708376,0.009050515,1.093495935,0.047650515,0.03,0.077650515,0.629583961,0.013,0.017,0,0.61365356,0.38634644,0.16741679,0.218929649,0.1320017
28,33.288,2.921,0.02,0.279,74,133,2.223023312,24.393,2.128,0.015,0.278,48,100,1.967777641,0.2785,0.000707107,2.095400476,0.180485945,Ben1-2,Benewah,4,C,Tetraploid,0.0302,43.8,0.388033437,NA,0.975459988,0.2167,0.157,0.3737,0.724503922,0.0901,0.0669,0,0.579876907,0.420123093,0.241102489,0.179020605,0.080813487
6,19.598,1.741,0.012,0.283,43,125,2.194101439,7.573,0.703,0.005,0.296,18,30,2.376865179,0.2895,0.009192388,2.285483309,0.12923348,CLD1-6,CDL,18,L,Tetraploid,0.01305,39.95,0.379708672,0.012022038,0.945704549,0.054522038,0.0301,0.084622038,0.552070339,0.0136,0.0165,0,0.644300696,0.355699304,0.160714636,0.194984668,0.154215147
2,35.91,3.59,0.029,0.318,87,258,2.422723475,37.956,3.61,0.027,0.303,85,204,2.239435135,0.3105,0.010606602,2.331079305,0.129604428,CLD1-6,CDL,2,C,Tetraploid,0.0402,50.33333333,0.397185588,0.010960478,0.796203759,0.261360478,0.1765,0.437860478,0.675312508,0.0981,0.0784,0,0.59690356,0.40309644,0.22404397,0.17905247,0.091810067
22,33.123,3.455,0.029,0.332,80,207,2.415240165,33.211,3.608,0.031,0.346,87,202,2.619613983,0.339,0.009899495,2.517427074,0.144514113,CLD1-1,CDL,14,H,Tetraploid,0.061933333,46.5,0.28360639,0.022897647,1.116400208,0.811497647,0.2569,1.068397647,0.316575163,0.123,0.1339,0,0.759546457,0.240453543,0.115125675,0.125327869,0.057968429
